nivel,tienda,mes,area_batch,estado_veterana,n_dias,n_lotes,uds_total,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,p1_ef_min_medio,p2_ef_min_medio,p3_ef_min_medio,p23_ef_min_medio,p4_ef_min_medio,p5_ef_min_medio,p6_ef_min_medio,p7_ef_min_medio,prep_ef_min_medio,total_min_efec_medio,p1_par_min_medio,p2_par_min_medio,p3_par_min_medio,p23_par_min_medio,p4_par_min_medio,p5_par_min_medio,p6_par_min_medio,p7_par_min_medio,prep_par_min_medio,total_min_paradas_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,p1_ef_pct_medio,p2_ef_pct_medio,p3_ef_pct_medio,p23_ef_pct_medio,p4_ef_pct_medio,p5_ef_pct_medio,p6_ef_pct_medio,p7_ef_pct_medio,prep_ef_pct_medio,p1_par_pct_medio,p2_par_pct_medio,p3_par_pct_medio,p23_par_pct_medio,p4_par_pct_medio,p5_par_pct_medio,p6_par_pct_medio,p7_par_pct_medio,prep_par_pct_medio,prod_total_min_ud_media,prod_efectiva_min_ud_media,uph_total_media,uph_efec_media,prod_real_oficial,prod_efec_oficial
general_trim,GENERAL,,GLOBAL,Liebre (todas),3.954,,14.747.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,29634091218558","0,28343191171885024"
general_trim,GENERAL,,SECOS,Liebre (todas),3.954,56.281,8.067.785,"141,59","1,19","10,49",22,0,"0,00001397537372721078","1,11","0,968087600755458","3,69","32,5","39,46","1,14","10,44","21,78",0,"0,00001397537372721078","1,08","0,958836","2,4","32,23","37,8","0,0557061528","0,05247","0,21871528486934075",0,0,"0,0273675503126","0,009251","1,29","0,27118057076279","1,66","0,0303118","0,26428024194","0,55832",0,"0,00000029856235709097","0,02801714","0,0244310345","0,094643","0,822596480726562","0,0300308941","0,2740025595","0,577529974328073",0,"0,00000031677402","0,028289","0,02515","0,0649963019247","0,8515325338639064","0,049727","0,037247509605122","0,14039983",0,0,"0,024248792069629026","0,004755","0,74362","0,17764734118986047","0,28061916022844","0,26899708040081305","216,97","226,57",,
general_trim,GENERAL,,REFRIGERADO,Liebre (todas),3.953,24.482,2.552.159,"100,49","0,885640476922","6,3","11,05",0,"0,0000317010530788042","0,970222952","2,18","3,01","17,35","24,4","0,8547969201195085","6,27","10,92",0,"0,0000317010530788042","0,95860682927","2,17","2,27","17,19","23,44","0,03084355680204403","0,0316891082465","0,1267",0,0,"0,01162","0,011648083058630316","0,7433810712377","0,15834285207634","0,95583","0,03654340739388064","0,2566615235029972","0,4544249916034745",0,"0,000001210117","0,03999032419","0,088944","0,1234","0,7110865151064704","0,036537049278","0,26529940333965","0,46759",0,"0,0000014729664034059","0,04107515063346306","0,09166064562","0,097832","0,732893735054608","0,04328352178055438","0,036788144","0,13187447909011454",0,0,"0,014771986087130994","0,01048195138004638","0,7628","0,16866262296870446","0,2498615045258","0,23645116897039437","250,57","260,88",,
general_trim,GENERAL,,CONGELADO,Liebre (todas),3.950,18.668,774.914,"40,32","0,94537700745377","2,73","6,05",0,0,"0,8560629262","1,88","2,99","8,78","15,45","0,9033920811899303","2,72","5,99",0,0,"0,8441679355011259","1,87","2,24","8,71","14,57","0,041985","0,009629","0,056520002016549",0,0,"0,0118949906725","0,00816249401246","0,7492406042745","0,066149","0,8774321530395757","0,06175045954","0,1750512232248501","0,3915105041569",0,0,"0,05586082062898","0,1231","0,1926785277541204","0,56656","0,0621560351266","0,18408661289077377","0,411128702077108",0,0,"0,05786432322004102","0,12928843265875087","0,1554758940267497","0,5952153149678807","0,04919","0,01632904006761","0,066293",0,0,"0,01615865400150325","0,0108842","0,84115","0,08262171338094279","0,39322562971670455","0,370627583","159,28","168,65",,
general_trim,GENERAL,,FRESCOS,Liebre (todas),3.953,22.864,1.647.270,"69,61","1,08",0,0,"16,45","1,38","1,02","3,77","3,24","16,45","26,93","1,05",0,0,"16,33","1,37","0,99849","3,74","2,17","16,33","25,67","0,0290649209979",0,0,"0,1165552246053411","0,005788608518710047","0,017199","0,02152002074559","1,07","0,1165552246053411","1,26","0,04040713982379208",0,0,"0,6086111720558536","0,05017466","0,038862","0,140894055863","0,121051018935","0,6086111720558536","0,04108092015994",0,0,"0,6330442327","0,05231299883002619","0,0401242","0,1465","0,086915","0,6330442327","0,03088659818204165",0,0,"0,09652133073883","0,0054219054404363","0,015528802278","0,017332624405294057","0,8343087389550692","0,09652133073883","0,392727250665556","0,3740875182","156,98","164,54",,
general_trim,GENERAL,,FYV,Liebre (todas),3.952,18.075,1.385.553,"73,44","1,34",0,0,"9,11","3,99","1,12","2,87","2,56","9,11","20,99","1,3",0,0,"9,06","3,94","1,1","2,86","1,77","9,06","20,05","0,03754042724",0,0,"0,046586598052897","0,04839971201952","0,014806513097648","0,00812101491207986","0,790519700549359","0,046586598052897","0,94597","0,064827",0,0,"0,4303226642245047","0,1892257324064844","0,0553079979","0,138130066818","0,1222","0,4303226642245047","0,065938",0,0,"0,4472600489514","0,1952871028506329","0,0571497672087518","0,1435089654","0,09085617792220123","0,4472600489514","0,05220464797701289",0,0,"0,05201755217749061","0,06449405438503618","0,0160078764","0,007952","0,80732367","0,05201755217749061","0,2973905622703254","0,28353","211,99","221,49",,
general_trim,GENERAL,,HORNO,Liebre (todas),3.943,11.961,258.024,"20,78","0,59723","1,26","1,71",0,0,"0,919889049652","3,23","0,446277","2,97","8,16","0,520060389148208","1,25","1,68",0,0,"0,84410671267","3,22","0,33334911282904406","2,94","7,85","0,077166","0,006642","0,022812",0,0,"0,07578233698255707","0,014072981021219042","0,1129283028644","0,02945","0,309404028351","0,068045374","0,15469077187","0,20635502738548808",0,0,"0,11700747091818","0,40287863","0,05102272699008628","0,3610457992517502","0,0638461423068443","0,15842546837211013","0,21036919755800607",0,0,"0,1127094176","0,4126","0,042022811978330646","0,36879466593011534","0,22068227946370683","0,01957","0,06627538077008066",0,0,"0,2963","0,052987","0,34416","0,085850062214","0,4164926595643605","0,39880279357734505","168,33","173,16",,
general_trim,GENERAL,,PENDIENTES,Liebre (todas),3.534,7.904,61.212,"7,07","0,6235772505371705","0,9357732831470328","1,06",0,"0,00622","0,55465","1,81","2,43",2,"7,43","0,610633625","0,880792552",1,0,"0,00622","0,550557761106116","1,8","1,47","1,88","6,32","0,012943625259385012","0,054980730747118706","0,058748",0,0,"0,0040968520090549","0,01164","0,9608376280748331","0,11372837403395","1,1","0,09502116905930581","0,11450577042562","0,11544",0,"0,000798706505940682","0,096818","0,248781328037514","0,32863053015653","0,22995058508408045","0,1076667","0,12555325979360804","0,12360041446",0,"0,000835","0,11395","0,28039311798909916","0,248","0,24915367425303436","0,016099182","0,0608027778625035","0,056577170305126025",0,0,"0,00483608243","0,01185","0,8498362904820754","0,1174","1,75","1,41","68,77","79,69",,
general_mes,GENERAL,1/3/2026,GLOBAL,Liebre (todas),1.384,,4.989.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2937723601520994","0,2814909699"
general_mes,GENERAL,1/3/2026,SECOS,Liebre (todas),1.384,19.137,2.756.212,"141,91","1,21","10,54","21,84",0,"0,000000867052023","1,13","0,9713022333012157","3,58","32,38","39,27","1,16","10,48","21,65",0,"0,000000867052023","1,1","0,9614921910475883","2,38","32,13","37,73","0,056959","0,06287643469090631","0,1834",0,0,"0,026997272002730003","0,00981004225","1,2","0,246264011556","1,54","0,0309658206533","0,26703700487666","0,5566455877560438",0,"0,000000020016","0,02876906482","0,02463901035635","0,0919435","0,8236825926327033","0,03059838708752","0,27571973053021237","0,57492",0,"0,000000021","0,02900858523452201","0,025296","0,064459","0,850637585","0,05477767020095956","0,044226","0,130374162057163",0,0,"0,02769","0,0058","0,737134110753325","0,1745997469089794","0,2788","0,2680324225","218,72","227,66",,
