nivel,tienda,mes,area_batch,estado_veterana,n_dias,n_lotes,uds_total,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,p1_ef_min_medio,p2_ef_min_medio,p3_ef_min_medio,p23_ef_min_medio,p4_ef_min_medio,p5_ef_min_medio,p6_ef_min_medio,p7_ef_min_medio,prep_ef_min_medio,total_min_efec_medio,p1_par_min_medio,p2_par_min_medio,p3_par_min_medio,p23_par_min_medio,p4_par_min_medio,p5_par_min_medio,p6_par_min_medio,p7_par_min_medio,prep_par_min_medio,total_min_paradas_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,p1_ef_pct_medio,p2_ef_pct_medio,p3_ef_pct_medio,p23_ef_pct_medio,p4_ef_pct_medio,p5_ef_pct_medio,p6_ef_pct_medio,p7_ef_pct_medio,prep_ef_pct_medio,p1_par_pct_medio,p2_par_pct_medio,p3_par_pct_medio,p23_par_pct_medio,p4_par_pct_medio,p5_par_pct_medio,p6_par_pct_medio,p7_par_pct_medio,prep_par_pct_medio,prod_total_min_ud_media,prod_efectiva_min_ud_media,uph_total_media,uph_efec_media,prod_real_oficial,prod_efec_oficial
general_trim,GENERAL,,GLOBAL,Liebre (todas),3.311,,12.192.780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2978","0,2835"
general_trim,GENERAL,,SECOS,Liebre (todas),3.311,46.690,6.698.689,"141,77","1,1","10,6","22,05",0,0,"1,03","0,966","3,95","32,65","39,7","1,05","10,54","21,82",0,0,"1,01","0,9546","2,44","32,36","37,81","0,0514","0,0521","0,2318",0,0,"0,0282","0,0114","1,52","0,284","1,89","0,0278","0,2648","0,5565",0,0,"0,0259","0,0242","0,101","0,8212","0,0277","0,2762","0,5789",0,0,"0,0262","0,0249","0,0662","0,8551","0,0419","0,0338","0,1276",0,0,"0,0192","0,0056","0,7719","0,1614","0,2819","0,2686","216,27","227,19",,
general_trim,GENERAL,,REFRIGERADO,Liebre (todas),3.311,20.155,2.097.687,"100,83","0,8091","6,26","11,15",0,"0,0001","0,9364","2,2","3,12","17,42","24,48","0,7832","6,23","11,03",0,"0,0001","0,9203","2,19","2,31","17,26","23,47","0,0259","0,0293","0,1261",0,0,"0,0162","0,0071","0,8093","0,1554","1,01","0,0332","0,2539","0,4576",0,0,"0,0382","0,0896","0,1274","0,7116","0,0333","0,2633","0,4722",0,0,"0,039","0,0926","0,0995","0,7355","0,0302","0,0329","0,1369",0,0,"0,0207","0,0078","0,7714","0,1699","0,2472","0,2354","251,53","262,49",,
general_trim,GENERAL,,CONGELADO,Liebre (todas),3.309,15.931,684.760,"41,81","0,8558","2,87","6,32",0,0,"0,8395","1,89","3,13","9,19","15,91","0,8276","2,86","6,25",0,0,"0,8245","1,88","2,24","9,11","14,88","0,0282","0,012","0,0701",0,0,"0,015","0,0114","0,8895","0,0821","1,03","0,0544","0,1789","0,3971",0,0,"0,0528","0,1206","0,1961","0,5761","0,0557","0,1895","0,4197",0,0,"0,0547","0,1272","0,1531","0,6092","0,0309","0,0168","0,0651",0,0,"0,0174","0,0111","0,8588","0,0818","0,389","0,3645","161,02","171,52",,
general_trim,GENERAL,,FRESCOS,Liebre (todas),3.310,18.944,1.346.902,"68,69","1,01",0,0,"16,24","1,25",1,"3,62","3,41","16,24","26,54","0,9828",0,0,"16,12","1,24","0,9834","3,6","2,27","16,12","25,21","0,0239",0,0,"0,1192","0,0073","0,0214","0,0226","1,14","0,1192","1,33","0,0382",0,0,"0,6101","0,0463","0,0386","0,1366","0,1303","0,6101","0,039",0,0,"0,6368","0,0484","0,0399","0,1424","0,0935","0,6368","0,0201",0,0,"0,097","0,0075","0,0194","0,0165","0,8395","0,097","0,3941","0,3739","157,96","166,21",,
general_trim,GENERAL,,FYV,Liebre (todas),3.310,15.004,1.106.959,"71,13","1,25",0,0,"8,91","3,99","1,11","2,89","2,71","8,91","20,86","1,22",0,0,"8,86","3,94","1,1","2,88","1,82","8,86","19,81","0,0299",0,0,"0,0518","0,0497","0,0148","0,0118","0,8945","0,0518","1,05","0,0607",0,0,"0,4244","0,1904","0,0549","0,1398","0,1299","0,4244","0,0621",0,0,"0,4432","0,1975","0,0569","0,1456","0,0946","0,4432","0,0303",0,0,"0,054","0,0558","0,0154","0,009","0,8355","0,054","0,3063","0,2907","207,95","218,44",,
general_trim,GENERAL,,HORNO,Liebre (todas),3.305,9.773,205.152,"20,23","0,5638","1,21","1,67",0,0,"0,8769","3,15","0,4702","2,88","7,94","0,5082","1,2","1,65",0,0,"0,8224","3,13","0,3423","2,85","7,66","0,0557","0,0053","0,019",0,0,"0,0544","0,0223","0,1279","0,0242","0,2845","0,0682","0,1532","0,2065",0,0,"0,1168","0,4023","0,053","0,3597","0,0653","0,1564","0,2103",0,0,"0,1139","0,4103","0,0438","0,3667","0,2207","0,0201","0,0782",0,0,"0,2078","0,0692","0,404","0,0983","0,4246","0,4076","169,54","173,71",,
general_trim,GENERAL,,PENDIENTES,Liebre (todas),2.960,6.723,52.371,"7,1","0,6008","0,9211","1,09",0,"0,005","0,5262","1,8","2,58","2,01","7,52","0,5817","0,8775","1,01",0,"0,005","0,5225","1,78","1,48","1,89","6,26","0,0191","0,0437","0,0796",0,0,"0,0036","0,0108","1,1","0,1232","1,26","0,0908","0,112","0,1181",0,"0,0008","0,0906","0,2473","0,3403","0,2301","0,1029","0,1259","0,1271",0,"0,0008","0,1089","0,2839","0,2504","0,253","0,0201","0,04","0,0653",0,0,"0,004","0,0119","0,8587","0,1053","1,75","1,36","69,95","81,62",,
general_mes,GENERAL,1/4/2026,GLOBAL,Liebre (todas),1.080,,3.863.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2947","0,2807"
general_mes,GENERAL,1/4/2026,SECOS,Liebre (todas),1.080,14.759,2.106.992,"141,33","1,1","10,4","21,79",0,0,"1,02","0,9368","3,9","32,18","39,14","1,05","10,35","21,58",0,0,1,"0,9322","2,45","31,94","37,38","0,0414","0,0422","0,2037",0,0,"0,0209","0,0046","1,45","0,2458","1,76","0,028","0,2633","0,5575",0,0,"0,026","0,0238","0,1015","0,8208","0,0281","0,2742","0,579",0,0,"0,0264","0,0246","0,0676","0,8532","0,0329","0,0303","0,1206",0,0,"0,0181","0,0018","0,7963","0,1509","0,2792","0,2667","218,72","229,22",,
